,gen,nevals,max,avg,min,std
156,6,100,[53.457334  1.      ],[42.85561906  0.98      ],[6.40881708 0.        ],[6.06890317 0.14      ]
157,7,100,[62.45664785  1.        ],[42.11475694  0.98      ],[-2.52774447  0.        ],[7.6398463 0.14     ]
158,8,100,[65.36723075  1.        ],[44.71916799  1.        ],[32.57029291  1.        ],[5.66668646 0.        ]
159,9,100,[62.35047227  1.        ],[43.46928695  0.99      ],[3.47401146 0.        ],[5.96432831 0.09949874]
160,10,100,[66.28510136  2.        ],[46.07304573  1.01      ],[35.67435574  1.        ],[6.05675078 0.09949874]
161,11,100,[65.214571  1.      ],[45.01540798  1.        ],[32.67266099  1.        ],[4.89959958 0.        ]
162,12,100,[68.50175031  2.        ],[45.68057133  1.01      ],[32.51435574  1.        ],[5.8476352  0.09949874]
163,13,100,[68.48276813  2.        ],[45.76503268  1.01      ],[32.44962131  1.        ],[5.10228527 0.09949874]
164,14,100,[62.39705143  1.        ],[46.84651739  1.        ],[32.70476156  1.        ],[4.85476902 0.        ]
165,15,100,[68.38175031  2.        ],[47.64817912  1.01      ],[35.61435574  1.        ],[5.55148802 0.09949874]
166,16,100,[59.45096757  1.        ],[46.98497886  1.        ],[41.30343393  1.        ],[4.46944577 0.        ]
167,17,100,[65.63038476  2.        ],[48.59172907  1.01      ],[35.65435574  1.        ],[5.73461087 0.09949874]
168,18,100,[65.82049782  2.        ],[49.22199316  1.01      ],[41.38553366  1.        ],[5.58671954 0.09949874]
169,19,100,[62.27292744  1.        ],[48.21143646  1.        ],[41.36343393  1.        ],[5.06892601 0.        ]
170,20,100,[69.16049782  2.        ],[49.04728008  1.01      ],[38.67342358  1.        ],[5.46128067 0.09949874]
171,21,100,[68.80049782  2.        ],[50.02467013  1.03      ],[38.33331573  1.        ],[5.64702587 0.17058722]
172,22,100,[68.28175031  2.        ],[49.93913758  1.02      ],[41.50203684  1.        ],[5.01433397 0.14      ]
173,23,100,[66.02510136  2.        ],[51.38461333  1.01      ],[41.4661224  1.       ],[5.42934663 0.09949874]
174,24,100,[65.37664785  1.        ],[51.49200426  1.        ],[41.4624087  1.       ],[4.67069846 0.        ]
175,25,100,[65.31265092  1.        ],[50.72412585  1.        ],[41.47705234  1.        ],[5.3214266 0.       ]
176,26,100,[69.16049782  2.        ],[52.06344279  1.01      ],[41.43955968  1.        ],[4.82345696 0.09949874]
177,27,100,[65.59038476  2.        ],[51.27776896  1.01      ],[41.40843499  1.        ],[4.9478077  0.09949874]
178,28,100,[68.24175031  2.        ],[51.79974587  1.01      ],[41.38566878  1.        ],[5.29453357 0.09949874]
179,29,100,[65.45705143  1.        ],[52.43894866  1.        ],[44.42098114  1.        ],[4.61845703 0.        ]
180,0,100,[63.20615118  1.        ],[37.82469665  0.77      ],[-5.67748404  0.        ],[21.2059715   0.42083251]
181,1,100,[72.38602481  1.        ],[48.48731357  0.93      ],[-2.00236985  0.        ],[12.03522678  0.25514702]
182,2,100,[63.81276631  2.        ],[47.60933792  0.9       ],[18.13719132  0.        ],[9.19415462 0.33166248]
183,3,100,[66.19698582  1.        ],[45.40550322  0.89      ],[12.33689069  0.        ],[9.96517924 0.31288976]
184,4,100,[63.73936697  2.        ],[48.16292207  1.        ],[20.94683373  0.        ],[7.71585608 0.24494897]
185,5,100,[72.38412125  2.        ],[44.94806992  0.92      ],[-4.75107735  0.        ],[10.00526271  0.33704599]
186,6,100,[78.6525046  2.       ],[45.2147036  0.86     ],[3.09208178 0.        ],[11.78515403  0.40049969]
187,7,100,[79.44824229  2.        ],[48.71438259  0.99      ],[18.38223899  0.        ],[11.12073414  0.22338308]
188,8,100,[79.23291621  2.        ],[49.63478647  0.95      ],[23.89204597  0.        ],[10.74093384  0.29580399]
189,9,100,[78.07715873  2.        ],[52.23849055  0.98      ],[20.74899634  0.        ],[10.50699458  0.24413111]
190,10,100,[78.9504163  2.       ],[52.580674  1.01    ],[15.08062604  0.        ],[10.26896654  0.22338308]
191,11,100,[66.08463995  2.        ],[50.90159549  0.98      ],[6.04385707 0.        ],[10.25782681  0.19899749]
192,12,100,[78.78727048  2.        ],[54.88196025  1.01      ],[29.85001385  0.        ],[7.69881465 0.17291616]
193,13,100,[79.67460924  2.        ],[55.20119946  1.03      ],[29.90081916  0.        ],[9.95715885 0.26286879]
194,14,100,[80.00416158  2.        ],[56.51783511  1.04      ],[27.03812746  0.        ],[7.76444839 0.28      ]
195,15,100,[77.75628902  2.        ],[53.623305  0.99    ],[32.74531691  0.        ],[7.55091496 0.17291616]
196,16,100,[78.89459035  2.        ],[55.17431019  1.        ],[30.15587132  0.        ],[7.75127519 0.2       ]
197,17,100,[79.8554596  2.       ],[58.0615434  1.05     ],[27.4708737  0.       ],[7.98823011 0.25980762]
198,18,100,[79.36425119  2.        ],[57.85627913  1.07      ],[30.16954489  0.        ],[8.56152575 0.3241913 ]
199,19,100,[79.02522822  2.        ],[56.77309456  1.01      ],[32.87670359  0.        ],[5.80719875 0.17291616]
200,20,100,[79.45057517  2.        ],[59.12102966  1.1       ],[47.70891643  1.        ],[8.0640177 0.3      ]
201,21,100,[80.08515318  2.        ],[59.66725315  1.11      ],[47.70157719  1.        ],[7.95065816 0.31288976]
202,22,100,[80.00515318  2.        ],[59.09545462  1.06      ],[42.12623594  1.        ],[6.53221909 0.23748684]
203,23,100,[79.7946957  2.       ],[61.16325919  1.13      ],[48.04493735  1.        ],[8.07309074 0.33630343]
204,24,100,[80.21470119  2.        ],[59.96354204  1.08      ],[47.98493735  1.        ],[6.86764618 0.2712932 ]
