,gen,nevals,max,avg,min,std
193,13,100,[89.06479378  2.        ],[72.61926091  1.08      ],[12.23510871  0.        ],[18.44350947  0.79598995]
194,14,100,[89.12241848  2.        ],[75.17377163  1.16      ],[25.75409291  0.        ],[14.83529568  0.75789181]
195,15,100,[89.12479378  2.        ],[76.55860434  1.1       ],[21.21109304  0.        ],[14.41189446  0.74161985]
196,16,100,[88.54802808  2.        ],[75.92722831  1.05      ],[21.31052015  0.        ],[14.37552132  0.81700673]
197,17,100,[89.21479378  2.        ],[80.16016819  1.28      ],[39.30346987  0.        ],[10.15975904  0.81338798]
198,18,100,[89.21479378  2.        ],[83.04138971  1.45      ],[39.31571501  0.        ],[7.3052716 0.698212 ]
199,19,100,[89.21718042  2.        ],[81.49334085  1.42      ],[39.29832195  0.        ],[10.84000917  0.77691698]
200,20,100,[89.28684256  2.        ],[83.46057527  1.51      ],[59.50591045  0.        ],[5.50527561 0.55668663]
201,21,100,[89.12718042  2.        ],[85.12885798  1.64      ],[70.80831264  0.        ],[3.83056049 0.53888774]
202,22,100,[89.25684256  2.        ],[84.8904156  1.63     ],[61.80854605  0.        ],[4.44319899 0.57714816]
203,23,100,[89.24479378  2.        ],[85.6702897  1.7      ],[71.75489234  0.        ],[3.32615905 0.47958315]
204,24,100,[89.28440946  2.        ],[86.22195473  1.77      ],[75.29405554  0.        ],[2.53824244 0.44395946]
205,25,100,[89.24479378  2.        ],[86.1682114  1.72     ],[80.77672988  1.        ],[2.5785435  0.44899889]
206,26,100,[89.29174456  2.        ],[86.77677745  1.83      ],[81.95580007  1.        ],[2.08128493 0.3756328 ]
207,27,100,[89.27718042  2.        ],[85.1478309  1.49     ],[75.29470869  0.        ],[4.22087291 0.67074585]
208,28,100,[89.25440946  2.        ],[85.51275362  1.54      ],[75.2741134  0.       ],[4.09772015 0.65452273]
209,29,100,[89.28440946  2.        ],[85.04615269  1.44      ],[75.27911344  0.        ],[3.65929855 0.58855756]
